item_name,true_label,pred_label
Seara French Fries 9mm 2.5 kg,Prepared/Preserved Foods,Cereal/Grain/Pulse Products
لولو شاي اسود مع ماسالا 200 جم,Beverages,Beverages
RKG Pure Ghee 1 Litre,Oils/Fats Edible,Oils/Fats Edible
"Arabest 16pcs Camping Cookware Mess Kit - Non-Stick Pot and Pan Kettle Set with Stove Stainless Steel Cups Plates Forks Knives Spoons, Camping Cooking Set for Camping, Outdoor Cooking and Picnic",Camping,Cooking
"Womens Workout Tops for Women Racerback Tank Tops Mesh Yoga Shirts Athletic Running Tank Tops Sleeveless Gym Clothes, 2 Pcs",Activewear,Activewear
"LZMY Expansion Wire Kit, 840Pcs Widely Used Color Jumper Jumper Wire Kit Corrosion Resistant for Digital Cameras for Computers for Electronic Communications for MP3",Electronic Communication Components,Electrical Cabling/Wiring
CTIFREE Multifunctional scientific calculators computing tools for school office use supplies,Computers/Video Games,Computers/Video Games  >  Computing  >  Computing Accessories  >  Calculators
LuLu Light Meat Tuna Solid In Brine 3 x 185 g,Fish and Seafood,Fish and Seafood
فلفل حار 1 كجم,Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh),Vegetables - Unprepared/Unprocessed (Shelf Stable)
"Sharpdo Household Intelligent Fully Automatic Sterilizing and Drying Integrated Dishwasher, No Installation Required, Can Accommodate 32 Pieces 840W",Major Domestic Appliances,Major Domestic Appliances
"Generic Mini Pc Intel Core i5-6360U, Processor 2.0 Ghz Up To 3.1 Ghz, Windows 10 Home Mini Desktop Computer With Hdmi,Vga, Port, 8Gb Ram ddr3L/ 256Gb ssdÃƒÂ¯Ã‚Â¼Ã‚Å’Gigabit Ethernet Dual Band Wifi Bluetooth,4K Hd",Computers/Video Games,Computers/Video Games-Computers
جهاز قياس ضغط الدم الإلكتروني YKBP-14,Home Diagnostics,Medical Devices
Al Kabeer Frozen Tender Chicken Breast 1 kg,Meat/Poultry/Other Animals,Meat/Poultry/Other Animals
قميص سباحة ميركوري للرجال بعامل حماية من اشعة الشمس 50+ وواقي والطفح الجلدي باكمام قصيرة كانو سيرف البوليستر,Swimwear,Swimwear
غسالة سعة 8 لتر من ايه تي بي جيفت,Major Domestic Appliances,Major Domestic Appliances
Young Living Essentialzymes-4 - 120 ct of Essential Oils Dietary Supplement - Time-Release Enzyme Capsules - Fiber and Protein Digestion - Nutrient Absorption Support,Health Enhancement,Health Treatments/Aids
Dandelion Greens/Lion's Tooth,Vegetables - Unprepared/Unprocessed (Fresh),Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh)
"KWSLIN 2 Pack Outdoor Sealed Waterproof Junction Box, 3 Way 3 PIN T type Electrical Cable Connector, Extension Electrical Cable Protector for Diamete 8-12mm Cable Repair and Extend Power Cables",Electrical Connection/Distribution,Electrical Connection/Distribution
WWESDXCR Winter Cotton Pajamas For Men 2Pcs Lounge Sleepwear Men Blue Plaid Home Clothes Pure Cotton Pyjamas Set,Sleepwear,Sleepwear
Raspberry Clamshell 170 g,Fruits - Unprepared/Unprocessed (Fresh),Fruits/Vegetables Fresh Cut
"لوحة مفاتيح موسيقية شرقية من ياماها ، 61 مفتاح ، اسود",Musical Instruments/Accessories,Musical Instruments/Accessories
Eastern Sambar Powder 125 g,Seasonings/Preservatives/Extracts,Cereal/Grain/Pulse Products
شريط كهربائي من الفينيل للاستخدامات العامة 1500 تيمفليكس لون اسود,General Electrical Hardware,Electrical Cabling/Wiring
حبوب منع الحمل جينيرا 21 قرص,Family Planning,Family Planning
"أساسيات النبات - بروتين نباتي شهي - قطع غير بنكهة ، 1 رطل - توابل نباتية ، تمامًا مثل الدجاج ، 2 أونصة - غير معدلة وراثيًا ، خالية من الغلوتين ، نباتي",Meat/Fish/Seafood Substitutes,Seasonings/Preservatives/Extracts
Dried Apricot Soft 1 kg,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Fruits - Unprepared/Unprocessed (Shelf Stable)
KIT Tools Rotary Hammer Drill SDS 800W,Tools/Equipment,Tools/Equipment
"Patella Stabilizing Knee Brace 1 Pair, Knee Support Brace Pain Relief Knee Brace Stabilizer Protective Gear Lift Knee Pads Patella Booster Joint Knee Protector Osteoarthritis Squat Exercising",Protective Wear,Protective Wear
جاكيت مبطن بقصة عادية ومقاس كبير للنساء من ستايلي,Clothing,Clothing
Azonee 2Pcs Versatilen Percussion Instruments Drum Sticks Percussion Marimba Mallets Long Drum Mallets Wooden Handle Drummer Musical Instrument Drumstick Rubber,Musical Instruments/Accessories,Musical Instruments/Accessories
"ايكي ايك طاولة ألعاب مكتبية على شكل حرف K، طاولة كمبيوتر مكتبي مكتب الألعاب 120*60*74 سنتيمتر K شكل منضدة ألعاب المنزل مكتب الكمبيوتر مكتب مناسبة للرياضات الإلكترونيةللكمبيوتر الشخصي، طاولة كمبيوتر مكتبية منزلية، مكتب ثابت مناسب للرياضات الإلكترونية 120 × 74 × 60 سم",Computers/Video Games,Computers/Video Games  -  Gaming
"غسالة ذات تحميل علوي مع مضخة من ارو بسعة تحميل 9 كجم، لون رمادي فاتح، RO 10TLT، 7 كيلوجرام",Major Domestic Appliances,Major Domestic Appliances
"سدادات اذن 27 ديسيبل عالية الولاء للحفلات الموسيقية والمهرجانات الموسيقية، سدادات حماية السمع مع مادة السيليكون الناعمة، تقليل الضوضاء، رائعة للمناسبات الحية (اسود)",Protective Wear,Underwear
سينتري تونة بالفلفل الحار 180 جم,Fish and Seafood,Fish and Seafood
"ميزان حرارة جبهة الراس الرقمي بالاشعة تحت الحمراء للبالغين والاطفال من كيه كيه مون، يقيس بدون ملامسة البشرة، بشاشة ال سي دي مع منبه الاصابة بالحمى ووضع درجة الحرارة المزدوج واضاءة خلفية بثلاثة الوان",Home Diagnostics,Health Treatments/Aids
Banana Chips 250 g,Prepared/Preserved Foods,Fruits/Vegetables Fresh Cut
"مفتاح إضاءة حائط ذكي واي فاي من تيكوندريس، لا يتطلب سلك محايد، لا يتطلب موزع، متوافق مع اليكسا وجوجل هوم، تحكم عن بعد عبر التطبيق، وظيفة التوقيت، التحكم الصوتي (أبيض وأسود) (مجموعتان)",Electrical Connection/Distribution,Electrical Lighting
"جنرال سوبريم جنرال سوبريم,غسالة صحون, 5 برامج, 13 مكان, 2 رف,ستيل",Major Domestic Appliances,Major Domestic Appliances
عافيه زيت الذرة النقي ٢ x ١.٥ لتر,Oils/Fats Edible,Oils/Fats Edible
"Goody Fresh cutted Fruit mix, 425 Gm",Fruits/Vegetables Fresh Cut,Fruits/Vegetables Fresh Cut
شرائح جوز هند طازجة-حبة,Fruits/Vegetables Fresh & Fresh Cut,Nuts/Seeds - Unprepared/Unprocessed (Perishable)
سانديسك فلاش درايف ألترا لوب بمنفذ USB 3.0 128.0 GB,Computers/Video Games,Storage
Indomie Chicken Noodles 10 x 75 g,Prepared/Preserved Foods,Cereal/Grain/Pulse Products
Shaflout Manila Patis Fish Flavored Sauce 700 ml,Seasonings/Preservatives/Extracts,Fish and Seafood
Tiffany Chunko's Choco Chip Cookies 10 x 40 g,Bread/Bakery Products,Bread/Bakery Products
نستله نسكويك عبوة حبوب الإفطار بالشوكولاتة 330 جم,Cereal/Grain/Pulse Products,Cereal/Grain/Pulse Products
"كتلة طرفية للسكك الحديدية، كتلة طرفية قوية التوصيل الكهربائي",Electrical Connection/Distribution,Electrical Connection/Distribution
"ارو غسالة أطباق بـ 15 إعدادًا، 8 برامج، شاشة LED، هادئة 49 ديسيبل، باب يفتح تلقائيًا، قفل للأطفال، تصميم داخلي من الفولاذ المقاوم للصدأ، غسيل بمنطقتين | RO-15DWGS",Major Domestic Appliances,Major Domestic Appliances
Sterling Innovation Japanese Origami Paper Pack: More Than 250 Sheets Of Origami Paper In 16 Traditional Patterns,Arts/Crafts/Needlework Supplies,Arts/Crafts/Needlework Supplies
شنطة اسعافات اولية تكفي 20 شخص,Medical Devices,First Aid
أصابع Quorn المجمدة النباتية بدون سمك - 8 x200g,Meat/Fish/Seafood Substitutes,Meat/Fish/Seafood Substitutes
WWESDXCR Winter Cotton Pajamas For Men 2Pcs Lounge Sleepwear Men Blue Plaid Home Clothes Pure Cotton Pyjamas Set,Sleepwear,Sleepwear
غسالة صغيرة محمولة بسعة كبيرة,Small Domestic Appliances,Small Domestic Appliances
LuLu Spaghetti Pasta 4 x 400 g,Prepared/Preserved Foods,Cereal/Grain/Pulse Products
"Nail-Aid Keratin 3 Day Growth Nail Treatment & Strengthener, Clear, 0.55 Fl Oz",Health Treatments/Aids,Health Treatments/Aids
العلالي مكرونة ايطالية بونتين 450 جم,Prepared/Preserved Foods,Cereal/Grain/Pulse Products
تفاح رويال جالا صيني 1 كجم,Fruits - Unprepared/Unprocessed (Fresh),Fruits - Unprepared/Unprocessed (Fresh)
جهاز تخطيط القلب واحد قناة EDAN,Medical Devices,Medical Devices
ألبرو مشروب حليب اللوز المحمص 1 لتر,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Beverages
"شورت داخلي عالي الخصر، ملابس داخلية بعد الولادة بخصر مرتفع، مشد خصر لرفع المؤخرة، بوكسر يشكل الجسم، ملابس داخلية عالية الخصر للنساء بعد الولادة",Underwear,Underwear
"EzzySo مبرد جهاز لوحي مغناطيسي لجهاز iPad Surface Pro متوافق مع سطح البخار، مشتت حراري مغناطيسي لأشباه الموصلات مع عرض درجة الحرارة، مبرد مشعاع لألعاب الهاتف المحمول Tiktok Live Streaming",Computers/Video Games,Computers/Video Games
زلابية كورية نباتية جيدة من سيول 420 جرام,Prepared/Preserved Foods,Cereal/Grain/Pulse Products
BMB TOOLS Manual Car Jack - 1Ton-1.5kg,Tools/Equipment,Tools/Equipment
Indomie Soto Mie Noodles 10 x 75 g,Prepared/Preserved Foods,Cereal/Grain/Pulse Products
"Womens Sports Bra, 2 Pack Set Padded Sports Bras Women Medium Impact, Push Up Seamless Breathable for Yoga Running Crop Top (L)",Activewear,Activewear
Al Kabeer Frozen Fish Fingers 300 g,Fish and Seafood,Fish and Seafood
"Voltage Tester, 2024 Professional Electrical Tester with LED Light, Non Contact Voltage Tester with Temperature Display, Battery-Operated Electric Tester Pen, AC 12V/70V-1000V, Batteries not included",General Electrical Hardware,Electrical Connection/Distribution
"موبايلي راوتر CPE 5 يدعم شبكة 5G، واي فاي 6، مزود بتقنية ثنائي النطاق مع تقنية عالية السرعة فقط لشبكة موبايلي",Computers/Video Games,Telecommunications
"مصابيح LED سوداء قابلة لاعادة الشحن ببطارية 60 واط 2400 mAh، مقاومة للماء IP66، 100 مصباح LED لحفلات الهالوين، تتوهج في الظلام، ملصق فلورسنت، اضاءة مسرحية، حوض السمك، طلاء الجسم، توهج نيون",Electrical Lighting,Electrical Lighting
Bach Trumpet Mouthpiece 7C,Musical Instruments/Accessories,Musical Instruments/Accessories
مسحوق الفلفل الأسود 150 جم,Seasonings/Preservatives/Extracts,Seasonings/Preservatives/Extracts
Lotus Biscoff Original Caramelized Biscuits 250 g,Bread/Bakery Products,Bread/Bakery Products
"Bolivia's Knee Pads for Kids, Knee and Elbow Pads with Wrist Guards, 3 in 1 Adjustable Kids Protective Gear Set, Protective Gear for Cycling, Skating, Rollerblading Scooter Outdoor Sports",Protective Wear,Protective Wear
وصلة اسلاك كهربائية مقاومة للماء بـ16 دبوس,Electrical Connection/Distribution,Electrical Connection/Distribution
زرادية ملزمة بمقبض برتقالي واسود - 10 انش - كماشة قفل فك شديدة التحمل مع فك منحني ومقبض مريح غير قابل للانزلاق - لاعمال المعادن واصلاح السيارات والشد والتثبيت من لوازم,Tools/Equipment,Tools/Equipment
Men's HUEY Jachuey Trunks Pack of 5 Noos (pack of 5),Underwear,Underwear
Lawazim Camping Axe Hatchet & Hammer & Nail Puller - Multi-Tool Axe with Pry Bar and Sharp Blade for Cutting Wood Splitting Logs Hammering and Nail Removal - for Outdoor Maintenance and Emergency Use,Camping,Camping
"FUNI Women's Kimono, Cardigan Shawl, Summer Swimsuit Coverups Beach Cover Up with Floral Print for Vacation",Swimwear,Clothing
"Media 90Cms Electric Cooker S.Steel, min 2 yrs warranty",Major Domestic Appliances,Major Domestic Appliances
"مجموعة انابيب وتركيبات انابيب كهربائية من بلاستيك PVC من بيلا مكونة من 10 قطع - حل متين ومقاوم للتآكل للاسلاك والكابلات الكهربائية الداخلية والخارجية (وصلة ثنائية الاتجاه، 20 ملم)",Electrical Cabling/Wiring,Electrical Cabling/Wiring
إيبوبروفين 200 ملجم 16 قرص,Pharmaceutical Drugs,Health Treatments/Aids
"سلك لحام أحمر 22-18 ايه دبليو جي موصل بعقب ينكمش بالحرارة، 300 قطعةأسلاك كهربائية معزولة طرفية مقاومة للماء، أطراف كهربائية بحرية للسيارات للقارب والمقطورة والستيريو",Electrical Connection/Distribution,Electrical Cabling/Wiring
Puck Cooking Cream 200 ml,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Beverages
"كواليتي اوف لايف لابس كينوكو بلاتينيوم ايه اتش سي 750 مجم 60 كبسولة نباتية من كختبرات، من كختبرات كواليتي اوف لايف",Health Enhancement,Health Treatments/Aids
بيرفيتو مكرونة نوتشيولي ٥٠٠جم,Prepared/Preserved Foods,Cereal/Grain/Pulse Products
بريتانيا ماري جولد بسكويت وقت الشاي 154 جم,Bread/Bakery Products,Bread/Bakery Products
حزمة كرفس زراعة مائية-500 غرام,Fruits/Vegetables Fresh & Fresh Cut,Vegetables - Unprepared/Unprocessed (Fresh)
"فيش بيز - طعام نباتي نباتي نباتي في صلصة غريبة مع جوز الهند والزنجبيل والليمون. نباتي جاهز لتناول الوجبات ، خالي من الغلوتين ، عضوي ، استبدال وجبة نباتية معلبة - 125 جم ( عبوة واحدة )",Meat/Fish/Seafood Substitutes,Meat/Poultry/Other Animals
"Excefore Men's Cycling Shorts 5D Padded, Loose-fit MTB Biking Shorts Pants, Suitable for Men Zipper Pockets, Adsorbent Design (XL)",Activewear,Activewear
شورتات داخلية مزينة بالزهور والعصافير للرجال من جاك اند جونز,Underwear,Underwear
ستار سمن كلاسيكي مدعم 250 جم,Oils/Fats Edible,Oils/Fats Edible
"ماركال 175غ بروتين فول الصويا العضوي - قطع كبيرة، 175.0 غرام",Meat/Fish/Seafood Substitutes,Cereal/Grain/Pulse Products
غسالة بسعة 7 كجم مضخة موجة كبيرة غطاء زجاجي 60 هرتز ابيض من تي ال توشيبا تحميل علوي كيلوجرام,Major Domestic Appliances,Major Domestic Appliances
إندومي نودلز بنكهة اللحم البقري كوب 60 جم,Prepared/Preserved Foods,Cereal/Grain/Pulse Products
زجاجة ضغط من أعلى لأسفل من هاينز مايونيز مدخن سعة 225 مل,Prepared/Preserved Foods,Oils/Fats Edible
Durex Extra Safe Condoms,Family Planning,Family Planning
Single Use Home Pregnancy Test,Family Planning,Health Treatments/Aids
Green's Vanilla Powder 60 g,Seasonings/Preservatives/Extracts,Seasonings/Preservatives/Extracts
رشاد الماء محلي,Vegetables - Unprepared/Unprocessed (Shelf Stable),Vegetables - Unprepared/Unprocessed (Shelf Stable)
"Origami Paper 500 sheets Blue and White 4"" (10 cm): Double-Sided Origami Sheets Printed with 12 Different Designs",Arts/Crafts/Needlework Supplies,Arts/Crafts/Needlework Supplies
المراعي حليب بودرة كامل الدسم 400 جم,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes
فواكه طازجة مشكلة مقطعة حجم وسط-350 غرام,Fruits/Vegetables Fresh Cut,Fruits - Unprepared/Unprocessed (Fresh)
مجموعة علاج اظافر القدم النامية - تمنع الالتهاب وتعقيم الأظافر.,Health Treatments/Aids,Health Treatments/Aids
قودي لحم تونا خفيف في الماء المالح 185 جم,Fish and Seafood,Seafood
Almond Powder 250 g,Prepared/Preserved Foods,Nuts/Seeds - Unprepared/Unprocessed (Perishable)
"Kids Wetsuit, Kids Warm Surfing Wetsuit Sun Neoprene For Diving Snorkeling (Size 6)",Activewear,Swimwear
LuLu Pure Granulated Sugar 1 kg,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products
موريسونس بسكويت القمح 24 حبة,Bread/Bakery Products,Bread/Bakery Products
Nutrigold Quick Cook Oatmeal 1 kg,Cereal/Grain/Pulse Products,Cereal/Grain/Pulse Products
Indomie Fried Noodles 10 x 80 g,Prepared/Preserved Foods,Cereal/Grain/Pulse Products
لولو فلفل أسود حب 200 جم,Seasonings/Preservatives/Extracts,Vegetables - Unprepared/Unprocessed (Fresh)
Cumin Powder 150 g,Seasonings/Preservatives/Extracts,Seasonings/Preservatives/Extracts
جيني رقع للاقلاع عن التدخين 14 ملغ تساعد على التوقف خطوة 2 ملصقات مضادة سهلة وفعالة 30 قطعة,Health Treatments/Aids,Health Treatments/Aids
فراولة مجمدة-1 كيلو,Fruits - Unprepared/Unprocessed (Frozen),Fruits - Unprepared/Unprocessed (Frozen)
"High Precision Digital BMI Intelligent Electronic Body Weight Scale , Black",Medical Devices,Home Diagnostics
"Nordic Catch Plant-Based Vegan Baby Shrimp - Healthy Vegan Seafood 100% Plant-Based Fish, Vegan Fish, Vegetarian Food, Vegan Meat, Soy-Free and Non-GMO Vegan Food and Vegetarian Meat, 10 Pack, 88 Oz",Meat/Fish/Seafood Substitutes,Meat/Fish/Seafood Substitutes
Asmak Shrimps Medium 400 g,Fish and Seafood,Fish and Seafood
White Grapes South Africa 500 g,Fruits - Unprepared/Unprocessed (Fresh),Fruits - Unprepared/Unprocessed (Fresh)
أوسيا توت أسود مجمد 400جرام,Fruits - Unprepared/Unprocessed (Frozen),Vegetables - Unprepared/Unprocessed (Frozen)
كاجو فير دبليو 240 500 جرام,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Nuts/Seeds - Unprepared/Unprocessed (Perishable)
فلوريدا ناتشورال عصير البرتقال مع اللب بدون سكر مضاف عبوة أقتصادية 1.6 لتر,Beverages,Beverages
"بوش السلسلة 4، غسالة أطباق قائمة بذاتها مقاس 60 سم، 14 مكانًا، إمكانية الاتصال بالمنزل عبر شبكة WLAN، ضمان التصنيع لمدة عام",Major Domestic Appliances,Major Domestic Appliances
غيتار كلاسيكي بالحجم الكامل C40 II من ياماها,Musical Instruments/Accessories,Musical Instruments/Accessories
MakerFocus Mini Nano V3.0 ATmega328P Microcontroller Board w/USB Cable for Ar duino,Electronic Communication Components,General Electrical Hardware
AVT Premium Leaf Tea 225 g,Beverages,Cereal/Grain/Pulse Products
Ulker Tea Biscuits 12 x 70 g,Bread/Bakery Products,Bread/Bakery Products
Mazola Butter Flavor Vegetable Ghee 400 ml,Oils/Fats Edible,Oils/Fats Edible
"Vegan Shroomeats Mushroom Shred-It - High Protein Meat Substitute from Shiitake Mushrooms - Non-GMO, 8 Allergens-Free Plant Based Ground Meat - Nutritious, and Delicious Vegan Meat - 8.8 Oz",Meat/Fish/Seafood Substitutes,Meat/Fish/Seafood Substitutes
غسالة ملابس اطفال 1كغم,Major Domestic Appliances,Major Domestic Appliances
"غسالة الية بلون ابيض من ال جي WSV0805WH، تعبئة أمامية، 8.0 ليتر",Major Domestic Appliances,Major Domestic Appliances
غسالة اوتوماتيك بتحميل علوي من جينيرال سوبريم,Major Domestic Appliances,Major Domestic Appliances
نسكافيه جولد قهوة 95 جم,Beverages,Cereal/Grain/Pulse Products
جرين آيس سبانخ مجمدة 400جرام,Vegetables - Unprepared/Unprocessed (Frozen),Vegetables - Unprepared/Unprocessed (Frozen)
سيارا بازلاء جاردن مجمدة 400 جرام,Vegetables - Unprepared/Unprocessed (Frozen),Vegetables - Unprepared/Unprocessed (Frozen)
"مفتاح ربط ألن سداسي من أمازون بيسيكس، مجموعة 26 مفتاح مع طرف كروي",Tools/Equipment,Tools/Equipment
اليغو لوح توصيل 400 نقطة ربط و4 قضبان طاقة لاردوينو - 3 قطع,Electronic Communication Components,Electrical Connection/Distribution
زيت الزيتون للطبخ عافية 1 لتر,Oils/Fats Edible,Oils/Fats Edible
"Electronic Capacitor, 4.7 UF, 100V",Electronic Communication Components,Electrical Cabling/Wiring
نوتريجولد دقيق الشوفان للطهي السريع 1 كجم,Cereal/Grain/Pulse Products,Cereal/Grain/Pulse Products
أنكور مسحوق حليب كامل الدسم 1.8 كجم,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes
Runner Bean - White EMERGO - 25 (Organic/BIO),Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh),Vegetables - Unprepared/Unprocessed (Fresh)
Century Tuna Hot And Spicy 180 g,Fish and Seafood,Fish and Seafood
Mehran Bombay Biryani Masala 60 g,Seasonings/Preservatives/Extracts,Cereal/Grain/Pulse Products
كوسه جاهزه للحشو - صحن 450 جرام,Fruits/Vegetables Fresh Cut,Vegetables - Unprepared/Unprocessed (Shelf Stable)
سرير كشف معدني متحرك من جهة الرأس,Medical Devices,Medical Devices
White Onions,Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh),Vegetables - Unprepared/Unprocessed (Fresh)
"Camping Sleeping Pad, Extra Thickness 3.9 Inch Inflatable Sleeping Mat with Pillow Built-in Pump, Compact Ultralight Waterproof Camping Air Mattress for Backpacking, Hiking, Tent",Camping,Camping
Pears Forelle South Africa 500 g,Fruits - Unprepared/Unprocessed (Fresh),Fruits - Unprepared/Unprocessed (Fresh)
"زجاجة ضغط من أعلى لأسفل بنكهة المايونيز الحار من هاينز، 225 مل",Prepared/Preserved Foods,Oils/Fats Edible
"مجموعة مفاتيح عدة بسقاطة وادوات مقابس مقاس 35.5 مكونة من 46 قطعة من فولوز، مجموعة مفك براغي مع حقيبة تخزين للمنزل والسيارة والدراجات والمشاريع الميكانيكية",Tools/Equipment,Tools/Equipment
Americana Fresh Frozen Mixed Vegetables 450 g,Vegetables - Unprepared/Unprocessed (Frozen),Vegetables - Unprepared/Unprocessed (Frozen)
حوافل  بذور الكينوا الطبيعية  ـ 250 جرام,Nuts/Seeds - Unprepared/Unprocessed (In Shell),Oils/Fats Edible
Al Kabeer Frozen Large Prawns 400 g,Fish and Seafood,Fish and Seafood
طقم بيجامة للنساء من سيواتين مكون من قطعتين من قماش مضلع منسوج بأكمام طويلة وأزرار وشورت,Sleepwear,Sleepwear
"سبانكس ملابس داخلية لتشكيل الجسم للنساء، نصف سليب",Underwear,Underwear
Pelvipedal Hip Spica Table,Medical Devices,Orthopedic
Nutella Hazelnut Spread with Cocoa 1 kg,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products
زيت زيتون بيتوتي وزيت زيتون بكر ممتاز 1 لتر,Oils/Fats Edible,Oils/Fats Edible
جالكسي مينيس شوكولاتة بالبندق 19 قطعة 237.5 جم,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products
جهاز قياس السكر كونتور مع شرائط,Home Diagnostics,Medical Devices
Red Bull Energy Drink Blueberry 250 ml,Beverages,Beverages
Nadec Organic Extra Virgin Olive Oil 500 ml,Oils/Fats Edible,Oils/Fats Edible
ليز رقائق بطاطس بالجبنة الفرنسية 12 × 21 جم,Prepared/Preserved Foods,Bread/Bakery Products
Sunbulah Frozen Mixed Vegetables 450 g,Vegetables - Unprepared/Unprocessed (Frozen),Vegetables - Unprepared/Unprocessed (Frozen)
Almond Raw 23/25mm 500 g,Nuts/Seeds - Unprepared/Unprocessed (Perishable),Nuts/Seeds - Unprepared/Unprocessed (Perishable)
LuLu Canola Oil 3 Litres,Oils/Fats Edible,Oils/Fats Edible
ما وراء اللحوم وراء السجق النباتي 4 × 50 جرام (200 جرام),Meat/Fish/Seafood Substitutes,Meat/Fish/Seafood Substitutes
Vicks Lozenge 40 gm Lemon And Menthol-Sugar-Free,Health Treatments/Aids,Health Treatments/Aids
خبز البريوش-حبة,Bread/Bakery Products,Bread/Bakery Products
"طقم بيجامة لانجري مثير للنساء من الساتان مكون من 4 قطع، بيجامة حريرية للنوم من الدانتيل وشورت كامي",Sleepwear,Sleepwear
Twix Twin Chocolate 25 x 50 g,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products
طقم سراويل داخلية قطنية ناعمة بخصر متوسط الارتفاع للنساء من 6 قطع من اينيرسي,Underwear,Underwear
Veterinary Small Animal Ultrasound with Micro Convex Probe,Veterinary Healthcare,Veterinary Healthcare
ماي فاينست كاجو محمص 450 جم,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Nuts/Seeds - Unprepared/Unprocessed (Perishable)
"دعامات الركبة من الصوف للرجال والنساء، وسائد سميكة للتدفئة في الشتاء لتدفئة الركبة باكمام ودفايات الساق وواقي للركبة واكمام دافئة لالتهاب المفاصل والرقص واليوجا والجري واللياقة البدنية",Protective Wear,Underwear
وي ماس 622 قطعة موصلات كهربائية مقاومة للماء للسيارات,Electrical Connection/Distribution,Electrical Connection/Distribution
"جهاز قياس متعدد رقمي شبكي ايكام يوني-تي UT202A+اقصى قيمة 6000، جذر متوسط مربع حقيقي، مقياس تيار كهربائي متردد/مقياس جهد كهربائي، اختبار ان سي في، قياس قيمة السعة النسبية",General Electrical Hardware,Electrical Connection/Distribution
Generic Electronic Computing Price Scale Black/Silver 40kg,Computers/Video Games,Computers/Video Games-Computers
Ferrero Kinder Chocolate Mini Filled Milk Chocolate With Rich Milky Filling 120 g,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products
اكسيفور محطة لحام تساعد اليدين مع عدسة مكبرة - اداة يدوية ثالثة حامل PCB - لوحة قاعدة شديدة التحمل اربعة اذرع مرنة للحام والاصلاح الالكتروني,Electronic Communication Components,Electrical Connection/Distribution
"يو إل اتش واي سي كرسي ألعاب الرياضات الإلكترونية، كرسي كمبيوتر قابل للتعديل، مكتب كمبيوتر، جلد بولي يوريثان، مسند ظهر مرتفع، دعم قطني، مساند أذرع مريحة، مسند رأس مع مسند للقدمين، أسود وأحمر 24.8x14.5x44.5 بوصة",Computers/Video Games,Computers/Video Games  -  Gaming
السنبلة فاصوليا خضراء مقطع مجمد 400 جرام,Vegetables - Unprepared/Unprocessed (Frozen),Vegetables - Unprepared/Unprocessed (Frozen)
"عصارة متعددة الوظائف ، عصير سريع ، سرعة قابلة للتعديل في اثنين من التروس ، آلة عصير طازج من عيار كبير ، 280 واط عالية الطاقة ، الصف الاتصال الغذاء الفولاذ المقاوم للصدأ طبقات",Small Domestic Appliances,Small Domestic Appliances
Generic Laptop Bag Sleeve Case Skin For Hp Dell Samsung Apple Macbook Air Pro Retina 11 11.6 Inch Light Blue,Computers/Video Games,Accessories
Axe Oil 3 ml,Health Treatments/Aids,Health Treatments/Aids
يقطين طازج مقطع 400 جرام,Fruits/Vegetables Fresh & Fresh Cut,Vegetables - Unprepared/Unprocessed (Fresh)
"120 قطعة من أسلاك دوبونت متعددة الألوان 40 دبوس ذكر إلى أنثى، و40 دبوس ذكر لذكر، و40 دبوس أنثى إلى أنثى، مجموعة كيبلات شريط توصيل متوافقة مع مشاريع لاردوينو من اليغو",Electronic Communication Components,Electrical Cabling/Wiring
مقياس رقمي متعدد الاستخدام حتى 2000 عدة من استروال يعمل مع التيار المتردد والتيار المستمر والفولتميتر والاوم والامبير؛ يقيس الجهد الكهربائي والتيار والمقاومة؛ اختبارات السلك المباشر والاستمرارية,General Electrical Hardware,Electrical Cabling/Wiring
"ميكروفون شور SM-58-S، أحادي الاتجاه، أسود، XLR",Musical Instruments/Accessories,Musical Instruments/Accessories
ملابس داخلية جاكبلاك من نوع فرايداي ترانك 5 قطع جاك اند جونز أسود L,Underwear,Underwear
مجموعة أدوات منزلية مكونة من 218 قطعة ايستفولت إصلاح السيارات لمالك المنزل يدوية عامة مع مطرقة وكماشة ومجموعة مفك براغي مقابس وحقيبة تخزين الأدوات,Tools/Equipment,Tools/Equipment
